1606905376348221228:1,20,25387,37596,3069,33146,8671,30602,22087,2809,29518,10319,3141,4537,8888,5894,849,3495,15752,31262,37301,5708-20,1,26563,3101,14617,28814,25368,14598,12546,29274,17852,36822,9707,23153,40342,10419,1311,15851,27744,21670,2949,25180-1,1,27233
1606905376348727759:1,20,11441,4351,33176,11735,28956,22095,22644,3507,38640,14327,1942,6288,21136,31889,1670,14360,15146,8835,27886,36246-20,1,24255,26928,14824,30108,18178,6527,11326,11950,1268,3363,165,35311,7262,8171,24293,11652,14195,27234,15327,20745-1,1,22675
1606905377348998702:1,20,32405,10651,9669,10483,26951,35953,27563,13288,3409,36090,28477,15946,11793,24718,1377,38159,34981,2603,69,8904-20,1,21903,28374,25086,897,11057,19844,28214,32547,19527,6847,3665,33567,19495,34725,22281,23088,19162,16372,19743,38999-1,1,7722
1606905377349371818:1,20,25815,7881,38358,32875,26707,36567,12316,29866,25929,39314,24833,29108,23443,8130,1819,14837,13373,21528,34880,2573-20,1,49,32531,26759,27824,38322,19094,38300,16034,17022,9759,5307,35400,26120,33502,22971,26328,31534,17357,37216,20346-1,1,600
1606905377349589778:1,20,8403,8672,38613,6139,10007,32387,26191,17516,37555,27845,36730,34756,37832,12837,12513,38766,25534,38057,15533,12693-20,1,2170,6743,3968,63,6656,11604,6735,17955,14109,8099,15239,19046,23714,39976,31031,14507,31295,21704,38139,34682-1,1,5910
1606905377350200128:1,20,36503,17175,16562,37516,2658,32522,36643,33461,11518,10981,15809,15551,4188,14392,9948,29650,17860,17046,38460,31059-20,1,36954,6606,13112,22661,4315,18065,1185,16384,8873,15457,30022,38829,6781,30097,5541,5478,22755,33646,69,7459-1,1,36062
1606905377350627636:1,20,9680,37596,18178,25330,22105,32448,6031,7153,14032,21620,4010,14121,16457,21775,31540,27622,26145,22619,16213,10863-20,1,24419,32585,23727,35100,7724,17068,39627,7638,455,4505,36155,38398,17223,26739,13944,37248,20965,33245,26440,9989-1,1,23373
1606905377350827568:1,20,1452,6427,21685,38845,5567,2151,22907,37686,1305,7807,16768,6711,5659,16594,25904,38463,5300,17850,32119,15259-20,1,7014,37334,3484,226,33057,30025,25972,22223,28939,577,20538,8036,30010,37375,18392,11666,19071,27815,4305,20130-1,1,8449
1606905377351214303:1,20,16257,19942,139,5093,15796,33990,30107,20502,39119,7406,16457,29626,14267,19285,10070,3959,29114,33066,38309,5191-20,1,18298,39755,15966,36247,24615,21820,15224,36924,12062,40068,19356,36982,12471,8720,24818,11573,39718,31735,27749,20371-1,1,9439
1606905377351691288:1,20,16075,22335,23073,37446,28957,29489,17968,8961,23642,36463,220,27452,26840,32310,11810,37982,3649,4225,33760,2669-20,1,31649,23555,31295,16290,21570,35444,1874,9789,3049,8838,8549,14288,21009,16608,31905,9101,25077,14457,37593,390-1,1,35966
1606905377351878873:1,20,27886,18521,2434,39761,24500,23734,28580,17044,39292,11612,16507,30204,39500,3513,28338,20936,8275,23724,39137,30340-20,1,34969,35817,4029,38616,4556,31681,26584,3900,18917,7630,24497,1853,30073,21119,14530,1279,25375,870,20306,35702-1,1,37836
1606905378352039713:1,20,1584,36735,22880,29983,37914,33282,23491,3585,39359,30460,13737,32028,22175,340,9527,25274,28861,6340,29949,33949-20,1,32970,26655,30038,33143,13859,38171,27626,28559,34430,32025,19542,1401,10195,12394,37227,10258,38163,350,22660,1148-1,1,5690
