1606905402414152560:20,20,39683,38992,17647,32788,23506,14763,1590,2165,2690,31205,14617,15162,30827,8381,32336,13789,3098,8489,4061,18985,34186,27713,19234,29884,4683,4842,26160,35815,9974,3279,33321,16841,19697,3915,24695,2863,6104,4560,14456,34998,22471,36115,38283,9458,39854,15217,17905,4027,12647,27011,4649,14416,25595,34574,27949,8376,5188,6162,7124,5011,22713,11837,30050,12176,7843,11296,659,38564,5173,17827,36423,37688,10587,26362,25929,14156,10875,24982,28696,12287,24275,30390,7714,6321,30726,36413,12158,22209,35470,19273,34155,32930,13363,27356,22680,31926,31359,27796,15936,30289,7732,35022,22771,11487,2992,28920,34498,17918,30085,24995,15389,3856,16654,22728,30709,31742,31261,27199,22905,25526,13206,24906,3087,23294,10116,3766,34330,32441,1343,17807,37004,1656,28902,29341,36777,30433,23488,8382,8975,10690,32783,34163,10022,21789,21520,15864,40201,8946,6668,30774,6006,36417,3696,22240,28420,15681,19348,4680,15903,8280,215,30027,30369,33775,25037,3146,8701,36207,25954,17788,14274,29014,6001,2196,2297,3611,687,30831,8244,10446,38451,8824,24681,36790,39546,33062,18308,32710,17694,13275,2452,12916,20472,20477,6921,4466,34431,11402,31806,28443,39550,23023,36996,5690,1040,1082,23865,14201,38657,38246,10078,24681,19453,4004,19891,35818,36360,34713,30018,40135,13290,36376,8633,13645,12561,10998,9635,8869,26593,2440,36689,12790,5902,10843,30376,2887,36839,32544,31659,13295,19245,17668,35435,25688,25735,15479,32799,30307,37220,20629,7697,18151,7901,2490,1502,27895,592,22519,3162,260,35765,37271,11393,32210,11745,25493,39505,17471,12717,33625,28814,30469,31558,1087,30489,14798,2486,3351,23215,25516,16392,2179,32922,38855,10140,21564,18998,33171,38476,17732,37214,132,33872,37710,11277,15415,5759,5536,20580,28495,37951,27696,22035,15295,20226,32264,18808,27759,7275,37830,32058,19809,22131,11668,31383,17632,36205,23895,17958,35019,8666,15872,34488,12054,9218,30252,741,9770,26383,20686,22592,22070,30849,31564,21985,20293,24007,26190,9105,14392,10829,17630,9891,8458,15435,5383,21641,23642,5385,6576,1920,31340,33098,36478,6123,1233,36736,27118,2418,29524,757,38134,17434,35043,11507,21091,18554,36372,34975,38892,9900,14352,7391,31999,23391,11653,29219,11150,26085,6712,31622,4543,22012,4130,15190,12807,16896,15833,6304,34459,10164,19348,21519,24412,5469,9828,4647,29756,35651,28440-20,1,28719,25967,3659,14694,37597,24676,17393,10371,3557,31472,38908,6720,10978,8205,33017,22523,39808,20165,13392,13584-20,1,8578,12992,5137,6332,25675,24372,5180,687,24189,8271,24106,11884,31941,39166,20495,23738,4601,9182,21263,17772
1606905402414953039:20,20,34427,19282,11256,8551,5778,12496,8312,38530,20197,2969,31180,27034,5674,1845,11483,39141,10872,17468,39708,13502,17757,24099,35517,39359,10248,27113,30124,7860,31233,5182,4571,7217,22962,10109,14873,24591,8704,21650,37395,5576,8309,37686,12322,26414,20530,9551,39452,21287,36347,23282,28251,396,33345,13439,22096,13921,17294,35910,5573,37203,28499,26965,19161,29438,261,13096,30769,28260,24702,6276,11600,31460,13331,34415,16591,32844,39285,11878,12583,164,32698,39432,13207,5636,11281,10175,14772,38607,36760,14762,1452,28669,36450,23255,7288,17743,39843,21907,21322,18944,36644,25782,15112,11533,18931,17234,30403,37874,17165,32629,28721,20523,6802,20696,38771,3488,26490,28132,32058,22033,19135,38340,38258,35934,36471,7332,30938,30585,16931,10270,24737,27898,28513,38195,34662,19909,11573,13413,22197,31618,32568,9403,30160,33932,36151,21821,16300,35204,24911,29996,13405,4457,30005,1961,25464,31040,35975,22450,10876,40251,2823,3097,13061,36361,19594,3619,2074,9985,26843,12225,24333,25103,4445,19919,37214,16468,18735,22492,12338,16582,4408,21530,6063,21338,38063,30055,10337,21640,21362,3059,438,30623,20357,8785,32703,9128,15427,2525,27105,1800,34255,5969,10454,19893,5508,20943,17272,22472,613,36932,2294,19618,29321,5647,2520,27876,22095,39742,20808,7816,9552,21818,5432,19348,10642,4620,5911,23731,8833,35217,8160,23673,222,3782,5921,8647,11308,16153,30165,3358,22650,25403,19384,34469,20532,33616,33855,19854,22608,8479,19452,15924,2031,23591,26232,23140,35153,31933,10519,35858,4489,27724,19198,38096,8607,22131,37377,21435,30360,23822,15840,40160,35254,35430,25426,13636,735,18414,33178,8182,22329,29494,13082,26562,3878,34594,5761,28450,27849,24696,24186,20910,7753,2699,5500,494,12588,37753,34702,39152,10676,25258,12046,1967,13373,2934,31768,9800,2354,36026,8406,25488,10034,26222,6404,16435,31713,5335,31142,9909,28622,23182,17493,15539,27283,22125,6357,28044,18608,9668,8128,12626,36189,19372,33041,2910,14650,39588,27200,291,22575,5231,16507,40024,14676,27022,18176,12186,38019,23620,34422,7577,192,39690,32268,14046,30060,13667,14101,18420,26412,18352,7693,9643,1154,19521,17052,11291,17350,17436,36305,36739,35213,39930,11508,37248,10085,3560,12542,18411,27354,18665,9609,28771,34747,31261,12033,22938,16038,29105,12735,1775,4100,30393,28358,12742,18249,15115,18872,1923-20,1,24601,37486,17818,11215,20912,40302,26324,31893,23688,20183,22518,21669,6739,30642,32449,29940,33696,36847,14311,37085-20,1,18117,34574,34577,37620,13684,16175,38051,10765,12055,18936,32247,29060,7875,23957,31702,40327,277,8122,33304,38769
1606905402415758227:20,20,1438,25817,15323,15753,29393,16253,8969,35044,37374,10046,14779,21082,26003,9367,9218,13334,38013,2768,25067,8325,28829,8517,17277,18808,3215,1536,29958,26164,16625,27813,17053,14495,13855,26404,37385,20390,1230,14850,35282,22540,8096,28230,4859,9032,7269,33713,2482,39323,5092,39478,2527,9057,36084,15797,12872,3551,28319,27510,31998,6915,9474,11953,6461,23827,11670,31871,40142,6387,13890,2056,31524,33702,7547,18084,29595,31244,37155,2997,16191,31175,34138,33254,21656,38775,18721,5455,40127,35827,25504,29727,23245,37042,3315,15884,20076,29815,6558,3270,16375,10097,26137,16833,9782,32961,39331,25215,27222,24275,21330,3761,22987,14768,9293,3964,10187,36715,6165,1124,27611,30909,1864,16649,30922,15465,9823,12738,39759,33614,16404,4684,14610,35919,20088,3281,6073,37625,24303,5001,280,11229,27317,2271,22669,35439,8284,35077,32211,5027,9596,26916,3338,34127,39851,13287,38922,13647,21230,25333,25413,25788,21844,27790,20485,38782,28984,12823,30040,37305,30307,12070,26277,13850,20624,21940,18528,3847,29688,15934,15987,17708,7956,14355,23016,2524,20000,24795,27205,19410,11941,4645,24134,32626,10246,15580,18950,17263,11922,33280,31755,10204,4723,20373,28377,4658,33956,24235,22539,19952,3614,2751,21822,36882,4686,31740,2189,32489,17694,9363,14017,7927,18980,7703,6726,6009,29819,12163,31037,40188,12773,24814,29510,5506,13017,4978,24821,13102,7092,27955,9131,5404,32909,37337,28426,35353,25513,18666,7895,30670,3762,15177,39465,29913,23031,21949,14431,29266,28939,6493,22144,11453,34996,37443,31056,39866,20121,37242,17912,39128,20660,10046,1958,26448,31298,15592,38462,6082,8624,11688,307,6543,2165,26505,5122,2134,35106,12452,9687,10643,13407,17534,4720,1802,33722,21324,33172,33522,2816,22235,23987,22604,12530,6485,16377,37578,14789,29073,40288,27490,27622,5204,27305,4161,36225,16594,16993,38123,38175,23480,2863,13688,14463,23639,17818,33526,11563,13068,31742,38151,34023,25767,20286,6960,21371,16704,15941,14635,2467,34541,1203,18032,8571,20634,8979,3524,16932,8843,31033,17841,36072,5747,6118,23411,18629,31609,3768,13033,32533,26274,12028,28313,36657,32507,40171,13229,17254,12755,9398,17532,16336,18595,19489,6855,33371,10305,17144,20844,20478,4371,22003,17436,22189,10753,36860,8721,39725,32716,17596,4093,25240,5358,18363,35351,32215,5537,26122,34413,10841,14942,25769,9229-20,1,4696,4878,34871,23976,18923,36417,1649,30223,15569,28569,23365,8706,8277,23317,22635,4446,17687,1295,16261,35618-20,1,14694,25606,18166,765,28410,30606,10542,12212,16292,35274,2033,728,2105,4018,30354,6852,15835,37241,31402,1485
1606905402416300389:20,20,23070,10604,5794,21147,6921,18660,11090,19406,12270,35142,7645,9483,30110,37199,9596,11774,29961,18005,2272,37102,12050,22965,23728,7736,15137,37495,5441,34022,37249,33441,2341,12241,14359,7653,36032,5657,38621,24693,11244,23487,8291,24026,39978,17864,2566,32696,27557,5580,38910,14766,15219,8547,2283,22458,10615,13946,6530,8331,8133,32326,2070,2644,39050,7334,3581,18938,25877,748,4712,38603,6279,26139,2040,17718,2026,36702,10714,17261,19896,18470,14481,23340,29081,25836,5818,28616,21534,20332,37124,3779,39062,11547,18463,28389,14497,26727,17462,22888,7210,18166,29385,22441,21688,16285,13520,35381,38635,28290,21651,21284,6034,13716,9932,31448,24981,8274,26226,29687,1143,30422,11398,7797,31167,26615,33981,20847,33086,17251,3446,39730,24112,28510,32414,10809,25701,4025,5820,33416,11332,24345,28477,25898,28533,2854,1878,2286,28591,31900,20624,17993,31768,22184,38489,17169,29325,25879,10688,3415,1947,23258,22079,39982,30002,3084,24817,14378,11739,23833,5235,170,11243,21975,31870,32270,31900,35527,6388,6571,24174,39709,14837,3029,19320,14629,37829,18132,3952,38194,14821,38274,37099,36516,15075,16324,6790,2447,31783,16733,16760,22284,3993,9951,14141,18867,29926,10488,39877,6390,24931,3563,31282,30561,20571,35707,35461,20875,36803,38893,38553,19137,21499,20618,8428,24936,23382,9355,27411,27407,34748,12152,19619,9531,1603,3362,30190,29040,6484,31501,8795,1077,1471,10841,6952,34673,34784,5569,15733,25784,9438,31821,22292,7575,32582,9803,1455,13139,37204,29954,24089,31026,16666,23269,28356,32927,18279,13965,13697,39293,25601,36382,20887,72,15310,5016,18119,33307,17453,32327,2774,14844,22675,34414,13816,11708,18962,26976,33587,40123,10709,39103,29300,14683,8894,35127,5161,9509,9470,30359,29365,34502,15783,39459,13301,36211,5034,23288,3894,14324,31100,10581,17053,5606,7580,5733,26908,9631,308,9148,11973,5453,31534,36609,773,23965,467,16820,33144,37016,38631,39777,22693,7316,30931,35943,1452,6388,8305,24091,9024,9216,3647,18777,22382,11191,15844,18287,11013,17374,40299,4008,16813,39613,30892,30838,34977,13060,8376,8954,17329,30802,22495,248,31745,36701,9515,23953,3531,26781,24450,1861,24603,2101,4772,4286,39811,12226,32350,9507,35614,29287,17751,15399,10662,39106,8712,29478,16686,13737,29207,12329,38714,14880,31434,29688,20847,39863,6746,14180,26649,14773-20,1,19999,8440,12731,28016,23419,12575,26002,36553,25300,31043,24008,3056,12451,14618,26758,16338,36221,18748,19630,543-20,1,21761,14324,11276,38595,576,37508,24504,6777,33194,13551,6906,10795,37924,1750,18149,36296,20421,36935,5989,21680
1606905402417195249:20,20,38301,4440,24402,16396,27515,34461,21567,35184,21571,31512,15950,16364,19152,30315,20273,35033,13173,37241,26324,3990,36076,27260,14197,40147,16590,28852,2351,14345,2934,22001,17070,23108,5613,28942,38607,3367,18865,11793,22965,24036,23138,38797,835,19276,6483,26459,19769,20826,35159,38169,18839,1920,25910,4485,18361,40125,34195,22853,24853,30543,6006,35797,23150,4392,20865,11208,26103,15604,8108,39353,37350,25206,22388,9985,9490,25363,4432,3258,15584,9113,6243,28624,15487,31744,34571,16520,14510,27002,2982,35557,27257,25154,31524,31032,2681,37145,33678,22664,8440,16186,38954,19678,27269,1066,12463,5354,29776,14007,6585,13059,18793,38512,27357,19695,35689,22624,18080,28224,32799,38443,20251,6006,15266,37444,8475,28511,27375,25819,22857,2495,20993,38846,25874,29795,26703,12814,25674,11668,21425,33211,21857,9363,15472,23276,30466,1525,2709,14911,22401,37094,2313,4541,36746,20937,31980,31802,29493,30627,5040,38590,12300,18883,15538,34941,10605,36526,22733,22460,33915,28548,34072,15783,35247,13015,13678,1700,18600,12685,8932,16929,24409,3518,6627,14605,14987,17615,4793,14733,30524,38481,1889,29620,13765,33133,13482,3992,2726,4116,29152,704,34178,29130,17414,13798,23938,17628,427,15820,28220,968,10077,6917,22339,37031,20191,28930,36420,18068,21803,36791,13548,36778,29922,2510,11967,6269,6256,11006,5949,3783,15863,7172,28890,15584,6325,30657,5389,27328,1772,14382,32347,35964,26559,20482,30036,24723,24999,17532,33581,25926,2315,16609,34490,599,21197,12762,12487,24402,36210,3903,18770,25701,22695,4586,12717,35042,10631,13832,8422,29226,20998,8072,22666,731,21396,4774,11950,12314,37665,12771,16633,17911,34405,1779,10716,19764,28135,17497,23319,5316,35632,25829,18668,2357,13753,2727,7885,12294,2812,24551,22851,26022,5107,32049,35137,12364,5479,26808,1466,37788,33911,25017,23506,26265,33587,33608,3694,24981,17251,36625,4821,3360,5892,11097,34222,16777,37769,21801,34790,27066,35449,28700,10783,35838,4768,38035,39971,14138,13656,33498,29350,22494,39210,17367,18510,37911,2624,27104,233,33314,26910,38748,17968,40177,17403,36223,541,32761,34394,34863,19039,27025,2842,9820,29507,30414,16542,28461,39749,21882,15749,39601,12191,7444,36898,1602,34275,36570,31502,12017,14094,28228,2151,39831,3456,10186,8442,9137,27668,31734,18687,8774,40183,32332,31736,11418,38145,24933,20304,27162-20,1,27544,6352,26913,24766,8419,592,25915,38222,761,23886,5271,5691,972,28500,24904,31376,17741,33426,26093,10827-20,1,27385,36984,5059,38792,23133,36579,23640,23512,5641,17043,33246,27775,17381,30751,29135,7555,27660,5196,37172,228
1606905403417777503:20,20,21564,20913,33271,6839,39503,3670,19462,19040,34496,13546,610,29961,12599,19412,38811,18954,38843,34183,39607,31943,38556,27718,3599,10957,25838,35351,38362,7359,35785,21888,11601,623,27538,27265,31869,30977,27679,8000,23816,28664,39475,32823,22984,23106,7578,5385,6470,9115,39855,37952,17050,8788,30961,17369,8921,26089,23595,8844,3720,3700,5841,10632,27750,33534,16698,25023,22411,31798,14632,9387,10909,30002,28132,30228,20836,20734,11172,14954,36213,13700,28260,9415,11432,34794,32856,32721,9942,10584,2442,6754,1849,21641,17133,3596,6555,38116,2819,27677,16323,18076,16617,29552,40168,33365,40312,11402,1876,22128,15058,39181,19071,5744,5581,10095,28773,8079,4215,30829,36156,35889,22710,17665,3138,16223,7312,22392,27927,12360,31719,3817,36411,38192,17572,11370,39673,39883,1207,30913,29861,38822,5222,11611,29200,22722,3743,22508,39016,37659,5567,39297,15701,25209,39099,36151,28347,15733,5848,28911,29197,9519,31004,13475,5284,2798,38844,2315,38307,26830,20932,16719,2411,28004,37968,8249,10712,14950,4064,27630,35747,7615,28756,16586,18920,34846,26850,30605,5018,17083,16186,27533,1580,849,32762,10133,14189,10160,23482,7993,14831,9425,29527,36087,24015,21422,213,19228,29998,17790,17146,18095,26320,24574,2117,1197,37063,34468,24350,37387,29997,32154,32007,37644,15867,26059,29217,32906,438,5309,12467,2704,16535,3990,13906,15748,27370,3536,29622,10789,20926,8441,27013,12080,35974,16716,13986,20537,38872,14466,26808,12143,35139,21951,19674,39529,9816,19371,37726,6550,39831,32361,29000,39061,38783,37835,38661,2405,10967,18660,35944,4263,7887,6946,20455,9965,6055,15907,9818,28226,24380,19839,22053,21758,3388,32021,20208,19753,12858,22300,16959,22834,34389,1646,10209,27594,1715,33616,33664,1104,19932,33402,26416,4757,30438,1554,19326,31160,11669,20175,5887,27333,22835,18873,23825,33018,19556,2828,26445,25319,19260,3847,23339,25411,33703,8757,1767,4288,3907,39707,16297,8423,2647,1751,36415,33260,23946,33101,11145,3777,36374,3472,21011,2951,35193,21799,6952,3274,2470,30421,35782,26851,39169,23890,15209,16661,3539,19347,39406,29802,38743,39989,39084,28681,38519,17068,27611,25281,36271,4882,36247,17095,19245,29379,16065,31377,16005,20382,11308,14599,9987,6606,35895,11313,26919,10461,22657,22492,21644,35624,18023,39496,30442,29307,34237,32756,5690,24888,19968,23502,2171,31599-20,1,23944,34860,7044,11552,35250,34772,20143,27186,3435,33737,39645,34723,34951,20787,32596,12543,23377,37904,25023,22515-20,1,16046,40289,12875,40272,17299,32527,30003,11363,37954,420,5977,16638,17564,18345,15113,37256,10080,34167,23233,11653
1606905403418685222:20,20,39502,119,6876,8212,26039,8235,38083,17335,31747,6393,18237,21578,32598,26511,33808,38660,30448,16800,7023,9597,37826,22483,32694,16712,21400,17220,22830,10662,5269,12283,38780,4444,29468,28281,33817,113,36187,19082,20907,17171,32473,39475,27143,27653,10027,19833,33371,27709,27164,4551,38465,35737,13751,19881,30670,11779,16067,8686,19136,11108,34408,14089,443,35881,17165,11165,13495,27632,33384,39635,2801,21881,26176,5994,15211,23365,11228,25621,29146,21482,6783,34909,33255,37282,9266,25189,20198,9146,11542,3964,4769,16356,24741,23385,33679,20765,14500,8489,366,14090,4316,32849,15648,16205,19820,9203,27948,35068,20328,11442,12779,2115,38277,15208,23567,36397,15546,10961,31391,27659,10808,39961,16221,34521,11761,20510,36983,32590,11478,22291,903,24244,15498,1094,9669,38666,19451,37510,12077,10653,11912,2789,22569,19832,39470,21411,6362,7739,14297,25908,5370,10127,7863,21988,14130,38345,36034,11557,27158,22371,1485,12895,22947,31633,39905,21152,14493,32618,25812,21275,11200,31978,853,13782,5491,26962,30685,22643,22993,33986,26495,14403,39557,11057,33918,565,23300,27444,35292,34906,34734,16137,13459,10899,16494,26009,13280,34314,20750,3491,4229,30482,493,9552,20773,8276,22375,3211,2938,36760,1419,12214,32897,21236,25690,1799,33589,39999,15320,27404,30116,34354,2095,10252,15931,1669,9215,3271,25267,9494,10473,36128,34043,8288,40016,30405,31169,37383,37839,4188,3774,19917,1851,26655,27470,21203,2044,9790,29418,18601,23691,34144,25030,5943,5336,34392,26443,39416,9566,21983,9293,13965,21585,7761,35696,18510,4487,18416,22177,15374,32847,7804,127,11979,35757,18841,31466,39979,13403,39024,35952,26100,35161,23215,23571,10866,9491,20765,14461,17433,12726,18196,16422,2027,12517,24207,10311,38481,6897,37469,7593,14953,8838,28737,4806,13254,40321,3526,32456,23272,35511,38975,22758,7118,16277,29407,7386,27027,25490,1198,34665,11559,27136,25229,31458,8941,35125,15921,31657,19132,32005,2964,10353,18388,21065,20698,3103,16144,29528,35071,33272,29497,18005,36942,29270,16606,16289,14510,22575,34421,24603,4745,4993,11794,17968,6358,12302,21996,6153,14913,21239,28152,14071,14882,37180,23790,22109,22413,21763,24007,27448,21878,25401,10373,2806,25928,36517,20886,8404,841,4598,17880,7237,17274,13442,11300,22453,35667,24503,20764,11876,3769,35420,31308,11476,15799,14992,29063,38185,33674-20,1,5640,5626,6660,19317,31459,28363,4597,30488,4449,24204,13634,36620,3099,6395,9519,20693,13472,28474,22756,17168-20,1,7111,2321,102,14693,17460,19879,18275,12625,130,19789,7893,37235,38415,20367,5308,9883,29452,10531,10677,33368
1606905403419528504:20,20,19581,6715,9023,11265,36956,9915,40165,9691,30385,5138,19849,9904,38094,9065,19781,23206,32387,5841,7637,1532,3866,34863,6382,10455,33426,36299,15095,37538,38126,10785,10484,39138,35090,27764,40188,35843,36522,32289,11691,3587,23066,2621,29373,23831,10471,752,29614,29480,26717,18004,26927,15745,85,8082,33476,1128,38557,29495,28304,34304,23605,35851,37967,31780,4847,29789,31733,19983,12084,9371,13986,2390,25987,2654,16250,24096,4317,27684,12549,5916,262,35170,8079,6873,30469,31971,13355,38965,7482,6929,20212,4565,16000,14358,36174,35818,18335,22720,2175,19789,4285,864,2883,22295,16572,24085,29137,1449,31816,36176,2325,4228,29673,22964,38432,16316,14234,5684,34127,343,25237,16153,34719,9821,1889,36419,14633,1120,11699,1617,27828,12749,17652,20924,38431,24731,7358,23615,4212,28100,24143,708,12381,23786,16064,12049,17350,11020,89,35155,36806,34698,39700,23412,33725,14648,5722,38519,25542,9192,9152,38102,12560,8400,23226,3247,14968,39432,3519,3515,3572,14563,38318,21429,18750,11847,30369,29037,16131,30891,2172,38036,29627,28232,39860,27606,10838,23104,34740,22635,24136,15812,38549,5405,20337,16860,13589,20735,20048,32818,23255,475,38137,25261,12111,35176,13395,11862,4165,8610,8552,23095,30785,3689,38663,20960,9203,9721,2609,3765,26651,34889,2661,6698,22590,14820,23021,8256,34571,24011,13331,8152,31435,11123,647,8012,8466,9057,19330,36839,4157,11159,14205,5100,35604,19601,33547,22517,13161,11709,20949,32602,36435,13579,19505,10813,7292,20360,1465,9009,32377,4276,17022,5877,5383,3087,28715,23665,12957,10995,6349,40280,2102,9516,40317,2074,4949,2425,20179,3258,23460,6665,20864,37521,12553,13408,9315,23364,38112,18329,22164,38096,3945,28444,25319,20700,36077,8624,15870,30688,20179,359,31626,39905,25955,26718,569,10839,17027,1161,16859,13044,21368,36592,4334,37916,13723,11868,10064,34576,38485,35720,29864,29529,34907,23599,18337,33542,11247,32496,35065,33862,20211,804,11877,9020,26144,12066,38903,18073,15411,28672,13416,8452,33583,31190,2861,24769,31446,10155,1712,7441,33152,18975,18764,19936,9061,12827,34139,1161,30073,1831,18143,12139,24951,32984,10434,34327,1663,29786,1530,3266,31813,35157,9613,6947,4488,37279,35313,34580,39335,13421,39734,1522,2590,5884,15653,9521,34848,21383,12139,15961,21574,21048,23991,21110,38984,26831,21598,39053-20,1,32118,22798,10361,24477,5549,35354,4493,23321,19812,36064,2802,3957,10140,11209,10566,27672,35344,9487,3888,24085-20,1,9488,6697,4902,22842,7241,24058,18473,20976,31786,13543,6076,19465,35158,27355,16371,14397,38025,4552,22397,29706
1606905403420390783:20,20,1402,1611,3386,14968,8674,30037,40,37935,1809,15508,20924,15161,28281,25167,32525,21883,10298,13847,28438,7882,28044,8292,14718,26784,18092,26647,10838,31164,18033,15458,6417,25899,14231,39602,38019,38211,25013,3337,20191,31900,6468,36829,29405,7173,23016,1881,33680,33214,26333,38963,350,22871,12399,13955,3846,29689,10009,38526,39171,36756,36346,34337,3816,34430,17822,9307,2122,13089,500,25277,8985,25151,29759,13888,39991,18621,34888,8856,2702,16026,21691,9205,35498,5595,10880,25164,96,21701,21083,1149,33637,16164,17691,17958,12748,38034,35864,21675,21577,14517,19671,31821,12752,34680,31754,38597,39077,23437,16131,6938,14907,31648,7156,2178,37033,13820,28042,11586,26473,36154,492,39952,28082,31823,36375,32270,37283,21302,35938,36805,13810,37914,29358,23935,6773,3076,18503,12243,7180,11174,25103,38584,36692,23834,6509,7457,26976,9882,25063,4249,7571,1792,18354,15141,18287,28903,32981,24792,34960,39658,25480,3880,4626,28230,38151,7635,18608,13429,4512,29689,27046,21469,35871,35746,23076,37049,35540,2193,37235,9654,27017,10369,15637,5832,13982,7922,37923,17873,22817,19550,15994,30831,16720,29161,31915,35483,3261,36643,9023,33238,38109,7105,2604,28883,37914,28787,23102,10103,19244,30639,21979,8025,6614,21117,21763,24342,31044,4432,23925,36093,37742,38381,364,12970,12044,2639,16029,15858,23629,27893,24325,26708,6278,16600,29199,23816,15980,20745,11188,38098,1687,25688,13656,2765,27726,8724,23281,34947,10429,38010,26392,14484,23407,34946,6567,20027,5714,10178,20710,5157,25369,1031,20586,14130,14997,11414,24212,35988,6225,17595,17864,2745,9945,10434,5632,841,40321,34288,23551,22705,38263,13941,17245,22934,37894,21185,5082,35296,27369,19275,35046,27243,7095,31532,17653,38110,21739,6671,26653,3778,23197,26054,8226,11441,11820,9686,19723,36015,35615,36181,38175,36040,18027,34140,7428,27649,22190,4358,3070,33561,12466,7612,21213,3936,21410,9605,26720,11299,37727,38975,37142,31222,38160,38196,8711,394,23741,35913,3014,15792,23529,23415,24372,6657,29365,3729,13431,18169,10431,5544,7465,31400,16940,6897,39042,25648,10532,36640,23693,10530,5373,3366,1679,885,15646,12904,33275,32061,25578,35651,31428,18219,19490,5605,19014,24274,32612,12199,25625,57,21696,31234,21731,10859,24311,30285,32735,25672,26365,15850,20318,30145,5114,5484,35138,40293,22500,102,31795,1537-20,1,25248,17525,29075,30629,5989,36942,27309,2646,7491,11015,5399,19930,25074,14426,25430,8213,34372,22876,11679,10912-20,1,4588,27556,25776,24948,17146,25892,14724,13589,26131,36388,10104,36366,2489,33198,33436,3179,32949,23727,18308,2968
1606905404421007997:20,20,7183,39555,40143,30511,6340,22450,1211,4103,4771,23178,6198,26628,21947,5457,33511,6133,18954,5311,20277,35589,21632,26945,10874,36174,36228,23320,8774,686,9450,1624,19111,28472,17574,19383,35001,37870,21802,19330,24561,2583,6724,977,13035,23775,21813,23994,22233,6486,9918,28413,3522,37276,39661,34927,20434,26113,12554,32140,15907,3016,35104,16744,20939,25788,27274,30404,31445,4822,9783,8097,30173,17981,58,11087,14696,32542,8834,38103,26634,35166,28934,2266,14924,24985,4760,31539,33375,8159,13369,19165,20162,21578,27490,28132,3992,4359,35302,40058,33065,6859,26612,1545,27701,36544,11029,20232,38938,36949,14142,27314,17516,13724,33688,1758,34923,9021,38451,5548,21826,19745,34201,9686,17729,11009,22418,2935,24094,29439,22242,6851,33579,28757,10558,22112,8944,34549,12307,39771,26484,19867,10059,1763,4553,33731,37226,33221,36482,25889,14905,27497,9940,11345,38260,8598,12980,21718,29247,822,6285,8094,34258,30460,32098,1645,17879,7558,23655,36314,32428,8672,13838,7389,5542,30703,32104,2020,38221,20683,12971,23211,18279,24258,36577,19890,30971,15101,32818,18931,30769,31843,32695,10347,26752,29991,19431,4757,23799,30454,8709,18353,36076,25461,36152,38606,36879,2894,4890,37959,31828,7332,7688,16608,8366,24984,4774,26561,32969,36791,32475,38474,26698,15256,14357,25483,19583,7853,24382,17257,12463,16525,9369,26972,17274,35658,17286,28441,5116,11183,25350,34257,28500,25930,26730,30678,40207,28022,33878,40267,4809,17517,21343,28352,33734,7339,28828,37099,39019,29822,37901,633,38360,40029,18147,1774,38572,19753,15883,5296,39288,12518,34187,27090,35659,8285,2106,4269,645,24243,27440,30169,8811,3559,37469,3493,8685,12706,10264,10500,194,24877,5432,18942,30290,13994,2786,2627,32941,24777,32566,31462,22836,2697,2642,16700,31543,39101,8567,28403,12916,7627,18864,39434,33518,17526,10167,5816,22962,23736,8651,23397,37201,33710,35560,6780,38831,12578,29292,13899,38219,30688,12720,37444,29062,21769,14849,22132,11213,11694,26034,37797,20120,17053,14826,22263,7317,6931,22550,19337,23798,5307,22027,19493,26913,15145,7214,26110,13369,2796,12384,18090,19676,6407,9373,20715,36228,36569,27109,23340,21424,25067,1294,22463,27356,11680,16407,21382,31774,17961,24884,19003,34580,14629,9342,20713,1988,27617,36021,27597,9547,9896,32842,36512,32107,11171,20598,3395,13035,1965,17359,35707-20,1,13448,10321,1858,40074,3527,27192,19563,21255,38802,26096,27918,32436,34098,2081,422,22448,26971,14187,5234,11179-20,1,28602,32846,19585,35744,33248,17994,26854,39090,28344,31830,20937,27376,15505,20947,23407,27430,28712,24956,28862,19569
