1606905424488271138:20,1,25962,25499,17882,1083,17454,7774,24167,3886,19986,9408,20407,23800,27104,9052,14875,39839,16814,21109,3562,26130-1,1,3913-20,1,16052,9172,6389,14232,32958,13387,34336,18634,20398,28415,11412,8682,6109,1092,16220,37411,35667,36632,5891,25622
1606905424489029429:20,1,2843,4912,1332,14950,8623,25072,33442,37629,22497,23613,32569,26957,3617,38259,28698,30609,1124,29466,15334,31531-1,1,8651-20,1,27005,1438,15415,39598,2938,9812,13328,26675,24359,16358,77,33942,5181,1832,4273,31935,10521,2486,18869,24733
1606905424489473280:20,1,31127,26786,38558,1025,26742,32802,22161,22051,25240,33127,3233,27721,39187,17469,1775,3788,22739,1922,16369,15159-1,1,32867-20,1,98,28207,4209,9543,24310,18240,17596,10831,15623,19812,25844,29936,28201,31513,34802,2274,38175,28226,21616,6212
1606905424489992472:20,1,24310,35283,7483,5166,36430,9567,6826,4354,36544,7944,9624,855,6653,20790,25340,11093,30326,10131,602,35729-1,1,28442-20,1,29498,31032,27068,38157,6325,907,30512,25406,21033,36845,22959,34599,31219,34431,5171,26045,13583,25678,208,21064
1606905424490635214:20,1,21438,7852,17108,22645,34209,6525,27872,4870,25700,4877,11345,39413,37317,1882,32204,9628,24896,2371,13114,36097-1,1,3605-20,1,36865,17156,1377,6545,6257,173,32405,22083,19857,12630,22841,14056,8526,15219,29005,14225,13618,24906,27502,28767
1606905425491220287:20,1,14024,31945,36102,29165,11173,24462,10460,13570,17448,32661,38495,32532,30900,31081,14806,6921,15239,22351,18848,12669-1,1,15915-20,1,36941,38719,22935,30524,29099,18030,24810,11856,14403,17264,3819,17536,23523,17340,15562,2392,25042,21537,25820,767
1606905425492049976:20,1,37657,23896,15780,5679,32451,30528,5926,40297,39746,6283,3129,31909,30220,6762,671,10506,34205,10418,24871,18792-1,1,26204-20,1,31073,4197,22394,39182,27421,17085,17979,21055,28375,4338,36012,24127,11142,5532,37720,36584,21020,26098,33001,7103
1606905425492571865:20,1,8597,9872,4302,32917,5732,37761,16074,35435,5154,30094,24095,216,24637,16358,39993,2975,4491,27972,3845,10238-1,1,8278-20,1,7412,37054,38576,35119,2183,12482,30500,16136,38585,18377,13511,27168,35811,3215,38352,12182,34099,37052,3731,16951
1606905425493105557:20,1,38522,8459,39180,10001,5162,8674,15476,22983,24304,22212,18839,22745,24392,17512,10082,28499,16918,16482,22970,37279-1,1,6607-20,1,7668,30936,20048,4476,38190,6108,532,23015,23575,40134,755,18399,23073,28515,30594,26757,4660,16751,33489,34014
1606905425493538771:20,1,27430,7556,19195,8811,37271,14859,8791,15894,6663,19952,26424,21033,31529,34997,29374,19457,18441,36198,30745,2388-1,1,18781-20,1,38566,23185,7899,2248,14983,16438,23518,20123,33262,27771,12941,31473,18484,34655,29655,17462,38274,38211,20527,19354
1606905426494020453:20,1,6913,16837,23050,5840,21603,15647,31600,20270,12854,17861,9812,15721,1959,29625,17566,7136,39099,4220,26632,34435-1,1,10041-20,1,10774,14142,28854,8556,39431,2701,17080,36859,15935,16956,35459,15035,19168,28558,4155,5034,35581,3606,23367,34801
1606905426494773163:20,1,22073,15890,35815,24930,12004,21041,1218,22797,20997,26749,37096,16078,24236,25915,35502,12343,2885,10617,11638,21901-1,1,6357-20,1,2305,16311,37531,21332,25843,3253,30112,26388,26658,1080,1717,26488,20668,9408,24855,10004,8617,20772,7751,27130
1606905426495417413:20,1,40240,212,25215,20798,390,16062,16376,16416,24075,1440,11425,13884,9168,39507,28414,7824,22385,35926,4750,5524-1,1,21181-20,1,4084,31654,17170,28109,23840,33570,11139,28336,25663,39270,34439,30786,4756,28354,32489,21139,17398,22953,2306,32756
1606905426495922078:20,1,12392,34716,26761,23881,21470,29083,17018,31099,27262,26484,6033,1748,10721,16636,25668,36270,16014,10848,683,31936-1,1,25886-20,1,30745,2255,14549,7261,7158,35182,14084,24888,14571,21301,24984,9866,19992,21805,34386,24964,6290,11013,27949,7806
1606905426496650245:20,1,33953,30843,26460,9832,12100,1269,3259,26447,38637,2232,31789,19818,28515,8660,19751,896,1184,11499,12598,11610-1,1,25980-20,1,12932,24105,1822,17154,27054,19366,34309,20656,1231,30287,9352,22473,8786,38144,10514,11557,9304,25871,33203,33811
1606905427497379301:20,1,36346,17191,28818,9907,21657,26422,35010,2664,13348,761,19626,24643,28747,9762,27298,31304,24359,33359,21077,2890-1,1,31427-20,1,32558,403,6381,20552,10226,10563,3708,19369,27214,39215,37623,23051,36206,27569,36790,12034,29063,22248,23351,8066
1606905427498094240:20,1,22262,36729,31087,31145,16716,30774,27533,5825,11885,15205,22965,4228,19288,8499,38784,29024,9156,7842,20432,8287-1,1,36218-20,1,27434,19216,905,32891,24268,5023,25081,34354,30713,8856,29269,16715,15353,14683,24940,3137,4516,37804,102,35988
1606905427498834638:20,1,5458,7733,16446,9393,21104,27167,14950,26449,38591,18025,29684,25018,10747,18463,23706,31293,16660,26241,5842,16279-1,1,38233-20,1,26871,4662,5722,11045,2493,460,10920,32550,2300,4639,32879,30743,20051,27780,11070,38879,24436,28324,30605,17063
1606905427499609097:20,1,4242,957,23947,20195,34734,16337,137,3265,10754,38147,1965,21158,24193,33988,1958,946,18990,29633,35641,39968-1,1,13842-20,1,32510,7465,31583,15978,2923,35162,37650,32021,12652,34536,5162,20236,33403,36456,6188,37778,18931,11883,2494,11613
