1606905402414152560:20,20,16135,8881,19895,2730,2231,37911,27700,33619,28037,18690,18126,10789,33072,33137,31584,9059,28367,38562,1118,11607,19808,2831,29336,313,6180,5844,24413,24380,4392,20742,17546,28332,2194,26973,17950,2176,8650,36608,10021,11188,31371,2037,27994,3229,9095,1298,18914,42,8459,2627,27357,36537,26434,13570,16797,6731,13529,12781,748,11228,11668,38074,33387,974,20612,7202,23203,27489,2252,22642,1266,11812,19197,4298,11405,37119,12171,16763,20973,17746,12784,33726,22436,7290,30732,29875,1867,26691,32808,29669,5404,21784,33454,17022,3379,37823,21792,28072,25957,25066,36557,33338,12688,31678,181,5627,13318,5960,20387,848,38434,10219,40032,13175,11951,34987,39167,22806,11233,33354,33170,12920,6320,6705,13097,2993,10138,34554,6810,1739,28418,16950,32656,22325,37351,28006,5256,19441,32174,14249,22792,14268,7432,25162,1891,9595,18566,6735,23278,14671,13134,12281,24099,19057,29573,5852,24092,9957,26351,39590,3810,11494,17082,39376,23173,27039,143,61,11751,16261,34722,7957,16542,19331,35284,23889,5772,3159,11583,11276,3726,24731,30728,29441,27951,4892,31835,15751,27155,38079,23462,19312,9964,795,15652,28848,25500,9946,10791,29301,24844,22042,31704,13780,3181,32148,16495,15191,23870,5402,27132,21476,23934,19005,15748,5160,28225,19047,28442,18412,19000,33161,39025,9858,5268,24036,174,24250,33942,23059,31643,4033,31531,24851,40071,29785,18377,19785,12645,26739,35849,6525,7044,28264,39372,6296,3517,27041,8272,32036,24741,2902,3676,24882,19432,15306,33968,34257,17835,37914,35001,29405,23089,36641,21805,24313,14682,36552,18901,21748,27979,17316,14940,18894,15302,36870,13927,33167,13703,15479,24067,6728,30354,8157,6369,22677,34809,28452,22317,17130,5795,6832,7500,19996,16483,25369,22529,15296,16569,21966,30124,30537,23867,35233,40064,2777,34550,4616,18314,7036,36301,7180,7409,11850,9771,7525,5093,34683,28331,20504,34163,2954,32678,2829,17161,37355,11246,31525,10904,19327,5196,5699,7265,28033,4211,33731,35876,29982,29329,27349,23975,9626,5519,1991,33279,23246,36752,16846,33840,37081,32602,22883,40032,24610,28720,7684,21294,2439,27264,32927,22269,18710,10590,19552,37376,13305,33050,31814,31566,28276,38383,15109,10039,17901,17920,9576,29682,33177,10820,15845,36674,26639,36434,28030,10045,34679,38322,11270,10814,15992,26687,22935,29810,22325,3999,32671,10643,25923,6670,20619-20,1,39940,26017,5296,1073,15652,13318,12999,811,23569,4301,27431,18659,33428,25218,18825,21988,17719,21441,10795,38462-20,1,20587,40067,25545,13931,3140,26928,11790,32527,21029,37760,4814,8469,10747,7873,17253,12427,3850,23604,674,20412
1606905402414953039:20,20,19535,7475,14485,33463,38768,34587,14871,39397,36241,2359,7660,18988,14011,27531,31304,22922,34376,40303,29561,23998,39737,28931,10372,11318,11085,29690,26123,10348,335,39024,25087,8389,36215,10670,3629,31200,25646,37730,10823,2986,16188,38988,5941,27131,10723,30822,13220,12241,26570,7170,17403,17593,24145,1849,27721,38421,16758,13622,31814,8913,16343,13782,8736,3374,29442,15496,23981,5698,27841,33262,32054,18097,21199,6362,17371,11924,22233,17376,39048,36804,26028,15261,21713,10330,1175,38528,37335,21823,22367,4231,8422,8868,25777,6036,24100,4060,36273,22901,9910,35454,40255,18678,5546,31033,32248,26047,10429,3137,24055,32638,29283,11345,499,40128,6271,6884,35603,17107,16201,3177,3790,33854,18069,21060,23540,11582,40018,1010,35014,22898,13285,18583,1302,6228,9363,35591,4156,33638,13936,27573,13092,4309,25298,4419,9364,10710,29264,2095,17601,13501,18501,32290,8986,32678,19834,2904,1458,20005,27657,26798,27501,10947,33471,7283,25491,8703,30802,8572,28130,23981,33093,32521,29582,1550,10651,36471,40038,516,6401,3474,14536,1395,33687,1066,12879,8483,24067,5458,19392,12657,4678,7806,21227,10437,30127,4290,20307,27039,26610,39697,483,21386,38196,15440,3331,36129,2995,38150,3109,17370,12472,32122,25216,20168,30243,26999,37419,19392,24639,9261,7169,11050,36481,2638,36172,31494,23527,6173,16141,27254,30352,21564,25030,21414,12617,27531,18313,6649,7950,15723,28546,37220,28776,33660,10705,6654,6195,12858,29774,2732,35172,39341,23505,29194,1300,19362,18266,3878,22940,37639,25152,31264,12349,35444,22490,7931,3537,14332,29320,3832,13612,15528,33373,39430,2602,19417,11093,18216,18543,13333,34860,18429,20056,39959,25817,35083,12963,20471,24598,31518,36209,15447,25648,35585,22494,13913,8895,28359,4967,13017,9645,16940,16326,24980,8645,28091,34845,34006,22942,14258,9543,5183,19269,16489,10401,29824,6011,6322,31717,34103,8790,9756,11723,245,4344,10501,12353,4423,6933,8561,4684,22440,6307,3288,9684,33045,7609,306,36597,37117,5352,35685,11135,38665,40329,22922,11363,30023,15289,37770,34821,3512,30485,33818,11177,38789,5307,25177,9108,26058,18582,8494,39885,15382,28404,2962,38349,9922,16326,1059,8712,7668,13847,21657,15329,18262,32602,23585,7402,35034,21012,26064,11601,16899,31764,25017,36384,23631,1566,16428,22935,3003,7257,38273,25799,7125,36020,3348,20033,13812-20,1,11781,38969,10677,11393,36391,1387,18939,23112,13357,9806,22284,5008,14688,32484,16445,13861,23744,6648,39872,25852-20,1,7416,26226,25479,15396,5832,11157,37183,6399,29347,35565,21004,20563,38417,9240,19833,8873,37340,18502,24976,14903
1606905402415758227:20,20,34517,2164,20153,32186,7196,27332,28328,31051,15225,21473,22570,21372,19094,38694,34406,9663,39299,16817,15507,625,1967,11222,34066,40329,32560,28720,31089,33342,11584,26724,8494,23413,6233,34126,30460,27605,2866,4496,6060,23759,20102,11807,20938,29509,27377,21567,22471,21853,27201,32310,28901,4038,39500,802,6845,27634,38720,34302,13727,12788,37203,39942,24623,32662,11109,21751,32651,8043,9221,4789,18559,21440,31254,6992,9646,15401,15979,17185,2171,1035,26183,38084,18806,23392,2239,16320,4629,7862,1213,26921,37709,34453,25126,815,26781,5005,27673,33938,18684,1921,20883,3823,9023,30472,31184,5514,17630,12304,39474,36716,14797,36816,38566,37213,6005,27127,39978,11739,29248,30573,40323,35223,39682,36086,9664,26605,31331,7092,24720,17561,20756,13020,16444,28518,38680,2482,20156,22374,15994,12303,37987,15629,10265,27932,4835,952,26687,8969,37977,28625,7965,28531,6776,29057,16198,33896,24824,27629,17845,35794,39036,15031,14488,25446,7882,12689,6224,17499,13924,35345,37419,31261,16540,5930,34393,38729,24544,34909,2102,40034,9360,17582,39330,10871,19103,29444,38203,20702,13105,11438,31009,22144,20902,8763,5350,14294,35251,22686,27445,27289,22836,12408,17200,28461,29117,34958,3987,10624,410,25451,28265,8498,28967,40140,20243,37374,23967,4733,37250,14744,17373,37472,16679,4587,31111,17847,36881,4677,33946,36240,11432,31174,2191,28230,31733,13731,33806,10364,29031,39145,30773,40001,37430,9068,10714,25511,11861,154,21383,29916,19265,4376,27279,3544,34984,1322,29170,9662,9445,28479,38946,34004,5264,32418,12081,23723,31291,36415,9559,23219,798,23239,35739,21367,12776,19773,32201,21814,31562,9669,14937,28892,15991,1207,13722,33376,5095,2366,8378,12502,17551,38535,16871,40235,16494,35627,1324,37721,32888,8661,1027,33526,32649,25433,12356,17527,32163,34097,5397,3635,25893,37591,23397,22120,12981,22244,7084,35687,40087,28769,29117,39817,2797,16499,28171,5097,16582,25626,8816,29182,19254,7321,17963,10727,2279,21271,14042,1660,28556,29286,314,28445,5678,9762,4904,7491,12910,40197,38500,25265,14428,37153,25512,9424,21338,20131,86,7117,9930,31567,8792,10868,22431,37717,32815,23494,23737,28446,30906,23907,30654,25347,22648,5085,15281,16420,20249,30583,4012,20364,6963,39086,38403,25211,6692,28123,13984,28807,1824,36393,1410,10690,19526,35659,349,13442,8287,26619,16844,34562-20,1,17877,21467,16198,29899,38134,15718,30565,1780,981,29913,23092,23995,10020,14368,7445,982,3578,36705,18485,19815-20,1,27202,20436,1621,18070,23027,12356,7251,35089,18427,15162,15544,20806,28813,37562,22572,2086,15190,39570,33676,4062
1606905402416300389:20,20,628,34103,25029,39855,8765,23843,26004,23093,31818,4823,10683,16784,38994,26877,34231,2801,9079,11153,17766,15819,15583,15176,4976,32242,37181,36212,21889,8120,24477,6140,30715,15514,39857,12241,36085,18092,36893,29730,17367,7201,6250,31959,11165,15085,35679,14744,4453,36559,31799,25989,35689,10407,15966,31043,37192,10609,1457,6995,38841,2984,5784,27088,24180,18573,19586,13302,17233,13675,37064,7287,32757,2559,15918,13247,5330,29273,34601,35273,9031,31051,8246,2160,12746,19841,36822,30597,22624,25444,4127,29413,14785,10473,5445,14642,5547,11230,28209,1859,31492,8973,40024,7099,22458,35708,16028,13028,2132,1008,17361,28670,31517,9570,39172,7554,25089,13462,28404,2394,11355,33081,27236,25399,6273,5273,13820,37977,12144,34610,32469,28642,9940,20036,25445,11524,1563,6760,35124,3118,7066,9170,12717,36758,22513,8427,37960,23104,4523,17753,30445,36387,18361,21930,23228,21215,32039,30645,16892,12289,33768,40322,29688,14688,29316,11078,16566,11742,13929,36051,20811,25544,16186,28713,30510,23125,3148,1537,13253,8136,17562,14894,39812,14000,26937,8305,19712,13281,15770,17400,31820,21261,30114,5829,38256,17616,10227,39909,16661,3825,33613,20349,35528,22746,14496,5355,34424,23122,22775,11449,29739,35131,32779,35437,39975,37551,30877,12343,18276,1132,39304,11544,26497,3618,6675,38570,8772,27506,12620,20422,15324,16757,13872,33777,3123,30417,4272,16086,30698,16619,16872,29369,981,35967,11325,7978,9635,26467,22946,5601,16673,27746,26041,19804,3139,23211,3579,39560,14608,6094,13055,26131,29559,15425,11111,37107,10036,6818,24314,13283,26442,27983,21223,24458,35627,6630,35828,34012,22794,30512,6979,32720,30377,38864,28963,340,3490,29175,3154,24106,37353,29897,3734,19133,29891,9555,14461,34396,14614,35947,15813,278,39520,16727,23551,25496,32474,30373,33523,2500,38928,8791,34097,19416,22779,24927,26232,38208,35555,32971,30529,15597,27611,24173,20380,22606,33510,27629,9339,17391,24618,11403,16492,23401,15069,38935,21096,36953,32853,26761,31474,36371,2673,19153,36562,32252,32517,22033,20244,5353,6052,27760,28919,37578,15962,13971,31010,13311,19029,9358,38660,1439,38722,5415,33626,39040,21543,8391,17024,18008,1375,9955,25593,18648,25328,21031,10146,9472,32618,28427,8566,38673,22267,29316,39496,32054,18283,12634,34107,29040,23712,32492,3765,14339,29092,18232,31612,4557,18851,4303,10335,12844-20,1,10096,23750,22249,9654,192,33168,1590,20164,37383,495,4123,13736,27546,19947,9785,40025,33180,3806,22460,2256-20,1,36300,16602,32036,33830,15453,35062,7393,32088,28705,29212,30981,17899,35415,21284,16514,30471,15254,37389,31027,20367
1606905402417195249:20,20,31506,15279,7024,32671,33156,3253,28003,21612,16992,24343,12373,17685,7070,1483,23640,2241,6640,37679,14152,21559,39646,37247,26125,20398,4427,28156,31196,1934,17802,37089,18021,32656,28922,16175,22207,7904,5995,16169,39434,18055,22788,37612,2204,12735,21316,3282,12172,11204,33848,15433,9044,34516,2745,29265,15748,24132,555,25822,1275,27198,26283,28706,7872,6930,8582,3310,20644,36107,25182,6729,38653,897,5312,17365,26168,40325,35126,26618,21982,36268,19398,3645,14152,4678,29913,33485,4582,14007,8354,27956,39664,20791,9109,2525,29341,30344,22193,31775,21725,21202,22507,9598,23647,33816,35943,14162,25466,10225,35173,14491,5038,1740,23473,12052,24069,5938,37868,14347,2221,23000,18802,36896,34449,35015,27710,37963,7324,9227,33221,32552,23103,32132,32556,17758,8798,1652,33704,14097,8474,31043,31385,7227,33601,33927,32163,26942,19677,6130,29358,16838,25524,12356,14473,1075,5763,11960,16860,22563,7002,7913,40321,13582,28810,16136,30048,31230,20344,309,38082,19956,8477,8303,3753,3326,35973,17588,30777,17260,28223,19305,25220,23096,4219,23161,17318,9102,21206,34594,8371,27090,33176,6205,10519,39257,39092,2167,3575,15757,32269,18754,1338,7643,32499,30299,16608,4500,2551,20035,20988,30939,34862,27662,35221,14874,29665,31537,28400,27902,31221,5908,36042,39841,11557,10136,4140,1602,25087,3186,11006,15958,5481,13488,7814,37675,16408,34921,35818,385,21884,34052,40047,23104,29096,26461,20622,7303,9268,7430,1369,17220,37237,36360,29751,33218,29953,12919,38466,39989,11164,2624,28156,17439,16339,80,7923,39834,38734,37934,14616,30352,5992,10250,8562,9164,8357,16615,39021,11172,9710,33402,22839,27693,36201,14244,30397,36458,27537,32247,25185,34934,27883,3326,36633,21591,35942,26779,25495,2188,24614,13726,18928,5469,30220,16037,5524,6129,18763,9434,16148,32618,23495,11335,7210,24440,38380,28644,25868,7078,32137,5442,34407,17809,17959,29270,9336,20226,4435,29841,31938,30808,4986,32278,23140,19533,8433,23389,14400,3281,9346,27113,30213,36974,2591,18162,5442,32752,31581,6708,4900,32509,15794,27079,11238,18697,32454,29495,33739,24449,26547,1892,11343,21538,16515,23109,25623,37150,10363,2108,12033,26136,901,12254,37749,25807,17620,23835,39981,4245,20566,22666,36124,5053,30895,1000,25852,1126,24441,36943,17652,30963,25580,32760,23033,1714,23149,27665,36550,40055,40298,10969-20,1,36535,32985,10825,39932,26808,39744,7077,18826,36396,29239,615,23339,8135,33455,31248,31846,24853,39623,15994,22670-20,1,17276,17164,32250,18429,3040,25621,17297,34763,23606,9123,26091,30301,36523,22620,29906,21509,31326,33852,13790,22913
1606905403417777503:20,20,26703,3349,24849,4117,46,7253,25505,36169,35525,31444,38159,38315,2011,6779,7717,32935,23446,3596,1894,35288,9978,29773,28390,38832,35860,22211,28963,27280,36391,16824,30570,26290,36665,14493,31591,25758,25842,22805,18062,8399,38524,32327,540,17174,33819,33869,2501,4998,4194,520,37787,16566,4112,32572,13813,16546,32908,37058,10586,12814,15684,12806,31686,16528,39293,4066,1920,34679,10464,23131,6538,22643,18251,21798,25111,29011,14185,9649,33035,12960,22033,18400,3959,21300,18972,16827,27813,11227,36158,2174,9220,10438,29915,35505,17322,18631,6989,9332,10012,32960,30434,6763,28849,40132,27189,20496,5896,29391,29346,26394,34674,21381,22137,36834,30442,20692,33461,11941,1653,17304,25364,28254,37266,24462,16061,38209,730,12827,18066,1228,7702,14542,20653,32340,8038,23521,17493,37911,36992,2681,13134,32480,9824,3922,36577,34891,8718,5272,17747,10073,21190,39806,37910,34354,37483,21966,23789,21684,26364,3821,14456,11944,1290,39032,3427,24525,34996,14827,5670,25105,8375,29820,29915,37360,9213,12317,18108,27343,22538,15243,3836,39856,27791,39849,31738,21811,4610,34848,22914,38141,23429,12148,3936,6799,35197,20657,22908,35990,13658,38564,8911,3681,15355,13844,14764,34211,3593,35033,24598,9172,25803,5387,27107,1912,3924,15842,22394,8606,13920,37759,23848,30445,33420,36312,10031,10640,13897,20139,29848,6722,15771,9411,31894,26869,24914,17885,35819,21225,7506,4461,3868,22502,22145,31056,24912,23041,27911,28130,26777,9578,28522,19648,10705,28873,35341,1789,21102,462,36259,18485,9878,39292,30874,38050,35962,12973,7380,26011,28950,20783,27910,13082,34455,29386,20872,18066,31294,21241,36529,32080,32187,19772,2707,39996,23120,24110,12810,920,15070,22913,7389,29086,14438,23379,30890,2217,597,38881,5182,149,29634,13996,21756,4839,12113,32816,5318,14816,37854,19988,4043,14423,10879,23073,20447,28090,17854,29502,26325,19638,25950,7985,32267,26243,18386,5471,3827,36564,11898,8202,25215,11675,28407,15218,14992,14812,38373,18845,25060,23101,18662,12110,16096,22525,13573,18320,33534,1413,28845,25276,24787,31222,31839,1193,1580,13942,2813,9464,7322,29035,34452,37644,20517,16515,21349,26818,11739,8895,7518,27579,9734,32887,12553,1862,16403,12260,15041,8026,33715,39220,2063,36034,24076,6263,37004,22273,10329,4010,33864,4191,261,1445,14099,19511,27476,2516,35241,23629,17268,15045-20,1,15648,29006,946,28995,26442,6162,7126,18449,13174,20759,28271,29557,35549,14805,31671,31445,10202,31136,8940,13287-20,1,17923,16407,3508,22926,30780,2920,31968,14741,6766,27924,35881,14998,29029,16153,8783,20816,4338,17192,2472,35113
1606905403418685222:20,20,21383,6752,20532,35421,26408,30896,30600,13994,32443,6122,8571,20790,1490,31710,19855,28725,34362,23253,6118,18487,29943,31680,38205,29172,24629,35486,3912,27116,27893,6676,9040,33507,22831,6977,13933,16935,22158,21862,923,33991,12712,40309,9038,22402,7420,22196,20771,27200,18079,39680,21088,39683,22197,33799,33271,24623,23037,31187,22499,24701,13405,5411,35134,32256,8592,22272,19594,30168,10921,21352,11579,37155,25901,39725,39977,23079,18318,29175,37517,11491,17840,27790,30269,22559,5857,23232,22030,8494,39747,30741,28147,895,18659,19818,24116,17786,21067,35339,40089,22647,20144,38389,7645,15526,9010,39797,34985,10934,12127,23804,1333,34444,16695,27648,15541,13054,26712,7943,37850,15174,28330,27019,27663,31138,3157,18780,24654,11997,38153,1226,21880,1544,18762,35103,34909,18695,31946,29885,27977,33110,4952,14022,36165,34283,4984,1060,36717,9499,11204,9426,19706,1692,17579,23583,4381,29626,37886,23801,25013,32575,4253,19747,9771,11809,34732,4036,12093,27683,1201,24297,7702,37339,28936,22518,30769,34753,33461,15874,7752,12455,21657,17896,13997,23203,20194,15851,4081,29925,27049,11416,36426,1060,20157,13572,4551,13377,34303,29615,2028,11013,26766,8205,11396,28625,28411,21951,9262,11029,16318,34740,29308,31311,10167,38124,3942,40104,8745,15739,35356,9649,115,32666,12144,16626,4765,9842,19167,15395,26402,18912,6133,16008,15424,9570,9729,8697,13070,10674,38077,25088,31564,31027,32542,24661,32293,13834,28577,1051,17157,32182,9325,21037,4615,38821,35263,37086,4431,40032,34880,2416,13259,9820,25714,19146,2700,26323,3780,36827,1261,36063,21219,23360,13129,16992,24015,987,1904,35445,32946,6786,22915,11320,34209,26968,38986,28223,11422,16002,18148,39427,24445,39559,37219,23473,35562,21465,19080,35472,39328,9517,23072,11255,40249,35629,4953,32307,18220,14632,29647,38006,8469,20691,2663,8595,18228,5890,10545,22511,28613,28281,3748,30365,14820,6809,28404,17083,5448,11090,29778,22738,28629,30952,9511,11734,12915,4630,13829,34046,36678,37400,27020,34785,40243,6992,32866,16235,1654,21454,13332,3120,8488,37186,13829,5163,2212,7113,39311,31470,29189,14977,28958,37411,33370,21770,39043,23047,4102,5766,34080,29543,28160,34654,4564,10590,33948,18826,20965,27648,7169,30034,7181,19614,17213,4344,30487,9499,23459,18141,8364,8329,39408,27076,9432,30122,7208,17282,1737,21389,25147,35358-20,1,7994,26191,21384,26515,2766,21530,19589,16140,32535,26213,34133,2364,8008,22421,21816,21890,31711,27709,4952,27487-20,1,20381,12475,25524,11891,6088,20225,9673,8138,32907,23287,25233,31361,9562,30968,17369,27365,38960,25844,7279,39045
1606905403419528504:20,20,5508,20360,24351,35585,2827,36589,35600,24143,527,32388,31901,37677,14884,13656,12348,10860,11033,32101,38204,39589,10571,24221,35155,6372,25677,16646,4638,34214,27278,2612,26487,30062,22245,12270,30434,6581,12173,1812,28239,35321,32901,15893,8215,5198,4007,22076,32964,37474,33516,38037,27787,27702,677,25330,33163,7462,4995,199,35972,9321,3117,2676,32598,17445,25468,18841,1493,37300,35811,6264,15562,36258,37893,1595,15423,25305,37167,40113,17721,25932,18975,18655,28526,22653,27397,20011,1119,1161,21046,8804,27073,35284,1713,36128,11136,9932,4882,2688,8732,19239,11953,8580,34832,39643,6875,20525,18671,723,1996,10571,37409,15700,4754,2319,21307,16181,27439,8008,15131,29111,26266,7413,20573,32091,13687,34075,25946,36251,1485,12242,37649,802,10884,12136,21150,20615,3883,38064,15604,1656,31026,15486,37859,15809,30416,31962,20608,27129,31179,29576,39486,13602,14935,2524,33109,33473,25440,14123,31325,4856,27889,30621,27737,30108,4623,36043,6101,35390,40075,56,13669,16987,14053,14623,16112,31005,26102,27879,32276,13798,16485,12915,19370,3771,30362,12257,7276,22914,37544,851,37060,4603,4807,5917,23626,2485,18265,24578,27929,31377,39282,31599,16276,10014,3368,38710,39886,25724,26498,16050,21245,20407,38681,19287,14463,17920,35781,32897,35623,1891,27310,30682,11432,26740,7693,37731,22529,29293,22008,20303,15081,7722,4116,40174,12818,16508,27915,18094,38249,5089,362,36502,24286,8677,13200,26653,33511,16267,1950,38039,36085,2457,27172,22798,19660,10580,20985,9405,22811,33844,28790,19672,15967,3846,33850,24078,29175,21666,9492,26767,7305,33764,5811,776,651,14818,33935,15592,4078,38798,26075,5199,39881,14695,21116,30538,9213,33453,15719,1257,19487,10472,24803,13217,5951,2614,11288,24982,20656,29075,38272,38940,12246,39196,31379,38745,23426,3539,28420,1582,16991,6833,3280,26918,15674,12220,36115,7002,7525,28482,24145,11682,29880,4275,29622,1762,25971,10647,36907,12426,23630,19262,12822,30556,5777,13889,20782,36026,34897,20914,31677,20470,2591,16703,27038,7784,12963,33513,11003,12769,35559,2047,39919,2109,35606,18706,16364,22805,27983,23287,553,14287,23789,34855,36723,24192,8176,26360,905,26112,11598,26245,8438,38792,39841,21153,38311,22981,32104,18604,38881,36806,33353,30751,37382,25370,2013,32244,3803,3963,11685,17392,32380,37020,24712,21454,10333,5265,22605,35430-20,1,27599,29554,37601,10431,14583,33717,158,29510,30219,18585,18159,25934,23089,33073,22663,15208,2838,19069,24475,16551-20,1,9417,13444,10439,2536,38445,14005,25861,574,14447,33669,22091,25442,12247,11930,33025,36421,30164,5228,31416,5322
1606905403420390783:20,20,37051,13574,13233,25218,14144,32662,38309,27502,1238,8336,10020,34426,28600,37014,29158,29993,30136,15266,19042,13556,23556,33900,292,11560,2604,6064,26269,3401,30114,39329,28386,27470,31825,18496,26439,16518,12219,8730,31248,512,31849,5288,15442,31956,29460,19409,15214,22003,29784,28090,31293,33077,5332,3867,1930,6317,11196,9819,32958,36804,4103,3146,10227,8523,18058,22081,27236,20603,22304,12942,6355,10937,26786,29638,9316,36887,12563,9523,21060,1910,21076,5537,10252,5643,13525,29163,7920,20064,13963,35090,24221,35253,12360,25903,12133,20717,10851,20820,29996,36107,10284,15981,9172,21252,2492,11268,27527,30365,34656,12611,29758,5567,28632,14700,15852,31978,25168,40162,28599,4773,6175,14229,10327,3185,29956,19614,22373,38472,9233,31592,19212,10891,39647,9981,18502,2827,25283,22959,489,15221,22649,6479,24105,6107,4987,26877,39537,22509,32371,24203,34268,2233,27226,547,1743,35213,33198,34040,22910,11520,19240,29734,18461,5611,30184,5024,6297,37112,32335,32971,8287,30686,19459,16154,36573,2568,24141,12765,35497,17434,39756,17331,36071,29613,12952,28074,18677,2338,7359,22968,25358,15017,31284,19018,29880,28736,13366,5259,31580,23224,34743,27517,10086,7792,16187,10950,8145,11536,25474,10766,32994,8391,38512,9412,5925,31496,14269,4924,12898,299,38162,26334,37243,36395,34982,2820,15445,20658,38640,17063,20709,26619,9927,13633,17394,25132,17791,24205,6694,16823,29794,20803,20504,31367,18487,10163,30053,18567,27640,28731,31648,35881,10470,34370,29258,10717,24413,35669,32043,20206,15288,34493,17841,32068,14339,20368,751,16496,2279,8777,27122,25495,8387,11311,39344,3961,21364,23631,5233,10183,12635,36531,39807,14928,39536,20163,31658,5410,15029,13228,15949,37883,10250,23862,27174,14367,29351,17914,29988,34900,35602,33253,6229,60,1302,34355,26591,14163,20243,16201,7222,8785,13799,3639,13815,6540,1296,24367,35070,4739,33599,32226,11346,14823,22106,3646,28956,10929,17489,11802,14360,15375,26422,6038,22515,27030,20904,20245,27251,30019,682,15665,19282,1991,5328,38451,7223,11404,31946,4413,18945,6693,18026,16026,26615,19208,13429,24537,32002,16522,1292,4001,37276,1669,27781,29118,3699,24307,3435,25130,32401,1581,33880,12583,17409,4014,26942,3381,32790,8225,10272,34697,3420,3814,37843,11410,25793,35321,29543,39629,30039,31356,27939,30442,9067,28497,15045,15223,22302,36344-20,1,1697,3432,4931,32197,39235,545,9161,32069,11522,36039,1933,8657,11867,29346,12665,12003,28860,8167,29590,27260-20,1,10128,28442,2252,19465,21984,21935,10376,33973,19283,18749,35505,29634,4763,12728,29377,33790,28000,28495,20032,18099
1606905404421007997:20,20,19666,26917,26137,14843,13440,15420,8174,8076,28117,20743,1720,18043,37269,31325,5973,16096,32643,4468,424,28827,751,1925,20352,11566,3955,18178,15128,15944,29938,1019,23015,29491,22186,16605,6778,6748,38920,24906,37011,18516,9803,2523,19489,29822,29092,21211,21765,27079,5252,20829,7462,811,36196,11399,27783,4753,2553,34538,283,31683,2992,24962,17162,22087,11532,3792,36408,25144,6900,10554,3955,30555,13569,9664,30609,5197,27415,38136,4186,5117,12062,27736,4132,26900,10998,29511,3204,281,1470,11916,27564,17613,37429,38512,5713,23677,9409,15034,39233,865,14924,24802,15146,12869,3295,9121,20746,17068,2503,9257,191,37513,31037,4996,22123,108,24346,30632,11853,19307,35497,25637,20528,15624,5954,6146,7952,9622,13013,31104,35538,11538,19674,29995,7563,4091,31150,9240,16726,30713,37341,98,12508,27491,1578,13996,13262,17258,31563,9049,19630,17379,924,24622,20697,5967,19626,31398,25902,27529,16035,9270,31776,4948,30974,38087,27942,13901,37189,21116,29856,23662,12757,9860,13168,15851,29711,35900,13020,14864,39154,35002,9549,4127,9135,35156,9419,39192,17527,24747,6519,29279,28806,39664,20458,36462,30155,36487,39144,32917,24724,23159,28524,34282,19063,13095,12726,34091,19559,40164,14027,30540,20227,11351,23967,25525,18243,28929,16444,38600,19180,22571,20428,27561,5250,9084,36258,38757,2654,31687,31868,37768,37077,3591,17056,38874,767,10574,25204,15206,34844,5033,13024,12461,22129,15403,35450,27574,12726,11050,21711,18487,15735,34847,7243,34663,1273,8779,6416,830,11516,28943,17107,22943,33153,33094,16649,26170,23148,35159,21548,31959,8793,3390,17219,8738,31771,5798,19758,26009,4770,30567,22250,15941,29201,31516,19329,3427,24958,31344,30049,13094,3244,27050,4385,306,25519,4055,28433,33942,13452,15772,4064,22343,32639,2116,5046,22075,17400,12725,1459,13105,17413,17425,26168,29901,5821,19754,2899,14519,14808,4483,33913,35029,3340,37471,23014,29376,4912,10176,5492,35717,31354,5021,21802,34900,9429,28332,18025,34455,27284,39775,1304,17832,6980,17162,31499,36910,15956,4194,23542,20827,3577,19063,8286,6430,27367,39710,901,30674,27804,21458,7665,10584,1859,32001,23738,36381,31684,18092,20226,7512,566,8256,31011,28061,38149,32461,36537,39286,30636,31867,37227,36163,13093,8307,29044,32638,19914,3713,7699,3336,36291,19227,28799,5501,20388,16519,7246,4265-20,1,33903,17949,24549,24457,30970,32675,8096,22201,38187,28736,8502,23235,33811,11102,629,39218,35350,24606,7990,26062-20,1,33049,29327,4496,23858,32169,37631,15710,4011,15134,19253,27246,13800,38642,16622,4895,24403,7223,38550,3823,40319
